Created as New Dataset,
cm-1,A
3682.00,1.6812
3681.00,1.6811
3680.00,1.6810
3679.00,1.6809
3678.00,1.6803
3677.00,1.6797
3676.00,1.6798
3675.00,1.6810
3674.00,1.6823
3673.00,1.6829
3672.00,1.6831
3671.00,1.6832
3670.00,1.6833
3669.00,1.6834
3668.00,1.6832
3667.00,1.6828
3666.00,1.6827
3665.00,1.6828
3664.00,1.6830
3663.00,1.6830
3662.00,1.6827
3661.00,1.6824
3660.00,1.6822
3659.00,1.6825
3658.00,1.6832
3657.00,1.6843
3656.00,1.6858
3655.00,1.6872
3654.00,1.6885
3653.00,1.6898
3652.00,1.6914
3651.00,1.6930
3650.00,1.6941
3649.00,1.6950
3648.00,1.6956
3647.00,1.6962
3646.00,1.6963
3645.00,1.6958
3644.00,1.6948
3643.00,1.6936
3642.00,1.6925
3641.00,1.6916
3640.00,1.6907
3639.00,1.6900
3638.00,1.6893
3637.00,1.6888
3636.00,1.6883
3635.00,1.6878
3634.00,1.6874
3633.00,1.6870
3632.00,1.6868
3631.00,1.6868
3630.00,1.6875
3629.00,1.6889
3628.00,1.6905
3627.00,1.6916
3626.00,1.6923
3625.00,1.6931
3624.00,1.6941
3623.00,1.6946
3622.00,1.6943
3621.00,1.6933
3620.00,1.6918
3619.00,1.6902
3618.00,1.6888
3617.00,1.6874
3616.00,1.6863
3615.00,1.6858
3614.00,1.6859
3613.00,1.6862
3612.00,1.6863
3611.00,1.6860
3610.00,1.6856
3609.00,1.6853
3608.00,1.6850
3607.00,1.6848
3606.00,1.6847
3605.00,1.6847
3604.00,1.6848
3603.00,1.6848
3602.00,1.6845
3601.00,1.6839
3600.00,1.6832
3599.00,1.6823
3598.00,1.6816
3597.00,1.6810
3596.00,1.6807
3595.00,1.6805
3594.00,1.6804
3593.00,1.6803
3592.00,1.6802
3591.00,1.6802
3590.00,1.6801
3589.00,1.6800
3588.00,1.6802
3587.00,1.6807
3586.00,1.6810
3585.00,1.6808
3584.00,1.6804
3583.00,1.6800
3582.00,1.6797
3581.00,1.6794
3580.00,1.6789
3579.00,1.6784
3578.00,1.6778
3577.00,1.6774
3576.00,1.6772
3575.00,1.6772
3574.00,1.6773
3573.00,1.6775
3572.00,1.6778
3571.00,1.6780
3570.00,1.6783
3569.00,1.6784
3568.00,1.6786
3567.00,1.6790
3566.00,1.6794
3565.00,1.6797
3564.00,1.6798
3563.00,1.6798
3562.00,1.6799
3561.00,1.6799
3560.00,1.6799
3559.00,1.6796
3558.00,1.6793
3557.00,1.6792
3556.00,1.6794
3555.00,1.6798
3554.00,1.6802
3553.00,1.6805
3552.00,1.6807
3551.00,1.6808
3550.00,1.6810
3549.00,1.6813
3548.00,1.6819
3547.00,1.6827
3546.00,1.6833
3545.00,1.6838
3544.00,1.6840
3543.00,1.6840
3542.00,1.6838
3541.00,1.6837
3540.00,1.6838
3539.00,1.6841
3538.00,1.6845
3537.00,1.6849
3536.00,1.6850
3535.00,1.6848
3534.00,1.6844
3533.00,1.6839
3532.00,1.6837
3531.00,1.6837
3530.00,1.6840
3529.00,1.6844
3528.00,1.6850
3527.00,1.6856
3526.00,1.6861
3525.00,1.6865
3524.00,1.6870
3523.00,1.6876
3522.00,1.6883
3521.00,1.6889
3520.00,1.6893
3519.00,1.6894
3518.00,1.6895
3517.00,1.6897
3516.00,1.6898
3515.00,1.6899
3514.00,1.6897
3513.00,1.6895
3512.00,1.6895
3511.00,1.6899
3510.00,1.6905
3509.00,1.6913
3508.00,1.6919
3507.00,1.6925
3506.00,1.6929
3505.00,1.6933
3504.00,1.6937
3503.00,1.6941
3502.00,1.6943
3501.00,1.6944
3500.00,1.6946
3499.00,1.6951
3498.00,1.6957
3497.00,1.6964
3496.00,1.6971
3495.00,1.6978
3494.00,1.6985
3493.00,1.6991
3492.00,1.6995
3491.00,1.6997
3490.00,1.6999
3489.00,1.7003
3488.00,1.7011
3487.00,1.7020
3486.00,1.7027
3485.00,1.7032
3484.00,1.7036
3483.00,1.7042
3482.00,1.7048
3481.00,1.7053
3480.00,1.7059
3479.00,1.7065
3478.00,1.7072
3477.00,1.7076
3476.00,1.7077
3475.00,1.7077
3474.00,1.7078
3473.00,1.7080
3472.00,1.7084
3471.00,1.7088
3470.00,1.7095
3469.00,1.7102
3468.00,1.7106
3467.00,1.7108
3466.00,1.7108
3465.00,1.7109
3464.00,1.7111
3463.00,1.7115
3462.00,1.7121
3461.00,1.7128
3460.00,1.7133
3459.00,1.7137
3458.00,1.7139
3457.00,1.7144
3456.00,1.7149
3455.00,1.7155
3454.00,1.7161
3453.00,1.7166
3452.00,1.7171
3451.00,1.7176
3450.00,1.7179
3449.00,1.7183
3448.00,1.7187
3447.00,1.7192
3446.00,1.7199
3445.00,1.7206
3444.00,1.7215
3443.00,1.7225
3442.00,1.7234
3441.00,1.7240
3440.00,1.7244
3439.00,1.7250
3438.00,1.7259
3437.00,1.7270
3436.00,1.7281
3435.00,1.7289
3434.00,1.7296
3433.00,1.7299
3432.00,1.7299
3431.00,1.7298
3430.00,1.7300
3429.00,1.7305
3428.00,1.7312
3427.00,1.7320
3426.00,1.7330
3425.00,1.7342
3424.00,1.7355
3423.00,1.7366
3422.00,1.7375
3421.00,1.7381
3420.00,1.7386
3419.00,1.7390
3418.00,1.7394
3417.00,1.7398
3416.00,1.7403
3415.00,1.7410
3414.00,1.7422
3413.00,1.7436
3412.00,1.7449
3411.00,1.7460
3410.00,1.7467
3409.00,1.7473
3408.00,1.7480
3407.00,1.7488
3406.00,1.7497
3405.00,1.7505
3404.00,1.7514
3403.00,1.7524
3402.00,1.7535
3401.00,1.7546
3400.00,1.7557
3399.00,1.7565
3398.00,1.7570
3397.00,1.7575
3396.00,1.7579
3395.00,1.7586
3394.00,1.7594
3393.00,1.7603
3392.00,1.7610
3391.00,1.7614
3390.00,1.7617
3389.00,1.7620
3388.00,1.7627
3387.00,1.7635
3386.00,1.7644
3385.00,1.7655
3384.00,1.7668
3383.00,1.7680
3382.00,1.7690
3381.00,1.7695
3380.00,1.7698
3379.00,1.7702
3378.00,1.7710
3377.00,1.7722
3376.00,1.7732
3375.00,1.7739
3374.00,1.7745
3373.00,1.7751
3372.00,1.7760
3371.00,1.7771
3370.00,1.7782
3369.00,1.7791
3368.00,1.7800
3367.00,1.7810
3366.00,1.7823
3365.00,1.7837
3364.00,1.7848
3363.00,1.7853
3362.00,1.7856
3361.00,1.7858
3360.00,1.7863
3359.00,1.7871
3358.00,1.7879
3357.00,1.7888
3356.00,1.7898
3355.00,1.7908
3354.00,1.7918
3353.00,1.7927
3352.00,1.7939
3351.00,1.7951
3350.00,1.7962
3349.00,1.7969
3348.00,1.7971
3347.00,1.7972
3346.00,1.7978
3345.00,1.7988
3344.00,1.7998
3343.00,1.8006
3342.00,1.8012
3341.00,1.8018
3340.00,1.8025
3339.00,1.8033
3338.00,1.8038
3337.00,1.8038
3336.00,1.8034
3335.00,1.8031
3334.00,1.8031
3333.00,1.8034
3332.00,1.8038
3331.00,1.8039
3330.00,1.8040
3329.00,1.8043
3328.00,1.8047
3327.00,1.8052
3326.00,1.8055
3325.00,1.8055
3324.00,1.8051
3323.00,1.8044
3322.00,1.8036
3321.00,1.8030
3320.00,1.8025
3319.00,1.8022
3318.00,1.8020
3317.00,1.8017
3316.00,1.8016
3315.00,1.8013
3314.00,1.8011
3313.00,1.8008
3312.00,1.8006
3311.00,1.8001
3310.00,1.7993
3309.00,1.7983
3308.00,1.7974
3307.00,1.7967
3306.00,1.7960
3305.00,1.7955
3304.00,1.7950
3303.00,1.7944
3302.00,1.7937
3301.00,1.7929
3300.00,1.7923
3299.00,1.7919
3298.00,1.7918
3297.00,1.7917
3296.00,1.7916
3295.00,1.7914
3294.00,1.7914
3293.00,1.7916
3292.00,1.7918
3291.00,1.7919
3290.00,1.7916
3289.00,1.7913
3288.00,1.7911
3287.00,1.7911
3286.00,1.7909
3285.00,1.7906
3284.00,1.7901
3283.00,1.7898
3282.00,1.7898
3281.00,1.7901
3280.00,1.7904
3279.00,1.7907
3278.00,1.7909
3277.00,1.7911
3276.00,1.7914
3275.00,1.7918
3274.00,1.7921
3273.00,1.7922
3272.00,1.7919
3271.00,1.7915
3270.00,1.7913
3269.00,1.7913
3268.00,1.7913
3267.00,1.7914
3266.00,1.7916
3265.00,1.7918
3264.00,1.7921
3263.00,1.7923
3262.00,1.7925
3261.00,1.7928
3260.00,1.7932
3259.00,1.7937
3258.00,1.7940
3257.00,1.7941
3256.00,1.7939
3255.00,1.7936
3254.00,1.7933
3253.00,1.7932
3252.00,1.7933
3251.00,1.7934
3250.00,1.7933
3249.00,1.7931
3248.00,1.7927
3247.00,1.7925
3246.00,1.7925
3245.00,1.7926
3244.00,1.7926
3243.00,1.7924
3242.00,1.7922
3241.00,1.7920
3240.00,1.7919
3239.00,1.7918
3238.00,1.7916
3237.00,1.7913
3236.00,1.7911
3235.00,1.7908
3234.00,1.7905
3233.00,1.7901
3232.00,1.7897
3231.00,1.7892
3230.00,1.7885
3229.00,1.7876
3228.00,1.7867
3227.00,1.7860
3226.00,1.7855
3225.00,1.7852
3224.00,1.7851
3223.00,1.7850
3222.00,1.7848
3221.00,1.7842
3220.00,1.7834
3219.00,1.7825
3218.00,1.7818
3217.00,1.7813
3216.00,1.7810
3215.00,1.7807
3214.00,1.7802
3213.00,1.7794
3212.00,1.7785
3211.00,1.7776
3210.00,1.7769
3209.00,1.7762
3208.00,1.7755
