Created as New Dataset,Sample 006 By Laboratory Date Friday, November 21 2025
cm-1,A
4000.00,1.1698
3999.00,1.1697
3998.00,1.1697
3997.00,1.1697
3996.00,1.1697
3995.00,1.1696
3994.00,1.1696
3993.00,1.1694
3992.00,1.1692
3991.00,1.1689
3990.00,1.1686
3989.00,1.1684
3988.00,1.1683
3987.00,1.1684
3986.00,1.1685
3985.00,1.1685
3984.00,1.1684
3983.00,1.1682
3982.00,1.1681
3981.00,1.1681
3980.00,1.1681
3979.00,1.1679
3978.00,1.1678
3977.00,1.1678
3976.00,1.1681
3975.00,1.1685
3974.00,1.1688
3973.00,1.1687
3972.00,1.1684
3971.00,1.1681
3970.00,1.1679
3969.00,1.1678
3968.00,1.1677
3967.00,1.1675
3966.00,1.1671
3965.00,1.1667
3964.00,1.1664
3963.00,1.1663
3962.00,1.1665
3961.00,1.1667
3960.00,1.1668
3959.00,1.1668
3958.00,1.1666
3957.00,1.1664
3956.00,1.1660
3955.00,1.1657
3954.00,1.1656
3953.00,1.1657
3952.00,1.1659
3951.00,1.1659
3950.00,1.1657
3949.00,1.1655
3948.00,1.1652
3947.00,1.1652
3946.00,1.1652
3945.00,1.1653
3944.00,1.1653
3943.00,1.1653
3942.00,1.1653
3941.00,1.1652
3940.00,1.1652
3939.00,1.1653
3938.00,1.1655
3937.00,1.1656
3936.00,1.1657
3935.00,1.1656
3934.00,1.1655
3933.00,1.1653
3932.00,1.1651
3931.00,1.1646
3930.00,1.1642
3929.00,1.1641
3928.00,1.1643
3927.00,1.1647
3926.00,1.1652
3925.00,1.1655
3924.00,1.1653
3923.00,1.1650
3922.00,1.1649
3921.00,1.1651
3920.00,1.1656
3919.00,1.1659
3918.00,1.1659
3917.00,1.1656
3916.00,1.1651
3915.00,1.1646
3914.00,1.1644
3913.00,1.1643
3912.00,1.1644
3911.00,1.1645
3910.00,1.1646
3909.00,1.1648
3908.00,1.1650
3907.00,1.1651
3906.00,1.1649
3905.00,1.1646
3904.00,1.1646
3903.00,1.1649
3902.00,1.1654
3901.00,1.1658
3900.00,1.1661
3899.00,1.1661
3898.00,1.1659
3897.00,1.1655
3896.00,1.1650
3895.00,1.1644
3894.00,1.1638
3893.00,1.1633
3892.00,1.1631
3891.00,1.1633
3890.00,1.1637
3889.00,1.1642
3888.00,1.1646
3887.00,1.1648
3886.00,1.1649
3885.00,1.1646
3884.00,1.1642
3883.00,1.1640
3882.00,1.1642
3881.00,1.1648
3880.00,1.1652
3879.00,1.1651
3878.00,1.1646
3877.00,1.1642
3876.00,1.1641
3875.00,1.1641
3874.00,1.1641
3873.00,1.1640
3872.00,1.1640
3871.00,1.1643
3870.00,1.1646
3869.00,1.1646
3868.00,1.1644
3867.00,1.1643
3866.00,1.1646
3865.00,1.1649
3864.00,1.1648
3863.00,1.1643
3862.00,1.1637
3861.00,1.1634
3860.00,1.1633
3859.00,1.1634
3858.00,1.1636
3857.00,1.1637
3856.00,1.1636
3855.00,1.1636
3854.00,1.1642
3853.00,1.1653
3852.00,1.1661
3851.00,1.1663
3850.00,1.1662
3849.00,1.1656
3848.00,1.1648
3847.00,1.1638
3846.00,1.1629
3845.00,1.1624
3844.00,1.1621
3843.00,1.1619
3842.00,1.1618
3841.00,1.1620
3840.00,1.1625
3839.00,1.1630
3838.00,1.1631
3837.00,1.1631
3836.00,1.1631
3835.00,1.1632
3834.00,1.1635
3833.00,1.1637
3832.00,1.1636
3831.00,1.1632
3830.00,1.1625
3829.00,1.1619
3828.00,1.1614
3827.00,1.1610
3826.00,1.1606
3825.00,1.1602
3824.00,1.1599
3823.00,1.1600
3822.00,1.1603
3821.00,1.1609
3820.00,1.1615
3819.00,1.1622
3818.00,1.1629
3817.00,1.1634
3816.00,1.1635
3815.00,1.1630
3814.00,1.1623
3813.00,1.1617
3812.00,1.1613
3811.00,1.1609
3810.00,1.1603
3809.00,1.1597
3808.00,1.1595
3807.00,1.1596
3806.00,1.1597
3805.00,1.1599
3804.00,1.1603
3803.00,1.1610
3802.00,1.1616
3801.00,1.1617
3800.00,1.1613
3799.00,1.1610
3798.00,1.1610
3797.00,1.1612
3796.00,1.1611
3795.00,1.1604
3794.00,1.1593
3793.00,1.1583
3792.00,1.1575
3791.00,1.1569
3790.00,1.1566
3789.00,1.1563
3788.00,1.1559
3787.00,1.1556
3786.00,1.1553
3785.00,1.1551
3784.00,1.1550
3783.00,1.1551
3782.00,1.1554
3781.00,1.1559
3780.00,1.1563
3779.00,1.1566
3778.00,1.1566
3777.00,1.1565
3776.00,1.1564
3775.00,1.1561
3774.00,1.1558
3773.00,1.1554
3772.00,1.1553
3771.00,1.1555
3770.00,1.1559
3769.00,1.1562
3768.00,1.1566
3767.00,1.1571
3766.00,1.1575
3765.00,1.1576
3764.00,1.1572
3763.00,1.1566
3762.00,1.1564
3761.00,1.1564
3760.00,1.1564
3759.00,1.1562
3758.00,1.1560
3757.00,1.1558
3756.00,1.1558
3755.00,1.1562
3754.00,1.1568
3753.00,1.1575
3752.00,1.1582
3751.00,1.1586
3750.00,1.1590
3749.00,1.1594
3748.00,1.1599
3747.00,1.1607
3746.00,1.1616
3745.00,1.1623
3744.00,1.1622
3743.00,1.1613
3742.00,1.1602
3741.00,1.1595
3740.00,1.1590
3739.00,1.1585
3738.00,1.1578
3737.00,1.1573
3736.00,1.1570
3735.00,1.1568
3734.00,1.1568
3733.00,1.1571
3732.00,1.1574
3731.00,1.1573
3730.00,1.1568
3729.00,1.1561
3728.00,1.1554
3727.00,1.1549
3726.00,1.1544
3725.00,1.1540
3724.00,1.1537
3723.00,1.1537
3722.00,1.1539
3721.00,1.1542
3720.00,1.1543
3719.00,1.1540
3718.00,1.1534
3717.00,1.1528
3716.00,1.1525
3715.00,1.1527
3714.00,1.1530
3713.00,1.1532
3712.00,1.1532
3711.00,1.1532
3710.00,1.1537
3709.00,1.1544
3708.00,1.1551
3707.00,1.1552
3706.00,1.1547
3705.00,1.1540
3704.00,1.1535
3703.00,1.1535
3702.00,1.1536
3701.00,1.1536
3700.00,1.1534
3699.00,1.1529
3698.00,1.1525
3697.00,1.1523
3696.00,1.1521
3695.00,1.1522
3694.00,1.1523
