Created as New Dataset,Sample 004 By Laboratory Date Friday, November 21 2025
cm-1,A
4000.00,1.1141
3999.00,1.1138
3998.00,1.1137
3997.00,1.1138
3996.00,1.1139
3995.00,1.1139
3994.00,1.1137
3993.00,1.1135
3992.00,1.1134
3991.00,1.1134
3990.00,1.1135
3989.00,1.1137
3988.00,1.1140
3987.00,1.1140
3986.00,1.1138
3985.00,1.1134
3984.00,1.1129
3983.00,1.1125
3982.00,1.1121
3981.00,1.1115
3980.00,1.1109
3979.00,1.1104
3978.00,1.1103
3977.00,1.1105
3976.00,1.1107
3975.00,1.1107
3974.00,1.1107
3973.00,1.1107
3972.00,1.1107
3971.00,1.1108
3970.00,1.1108
3969.00,1.1108
3968.00,1.1109
3967.00,1.1111
3966.00,1.1113
3965.00,1.1114
3964.00,1.1111
3963.00,1.1106
3962.00,1.1101
3961.00,1.1098
3960.00,1.1098
3959.00,1.1098
3958.00,1.1098
3957.00,1.1095
3956.00,1.1093
3955.00,1.1092
3954.00,1.1092
3953.00,1.1094
3952.00,1.1097
3951.00,1.1099
3950.00,1.1099
3949.00,1.1098
3948.00,1.1097
3947.00,1.1095
3946.00,1.1095
3945.00,1.1095
3944.00,1.1094
3943.00,1.1091
3942.00,1.1087
3941.00,1.1084
3940.00,1.1084
3939.00,1.1086
3938.00,1.1086
3937.00,1.1084
3936.00,1.1082
3935.00,1.1082
3934.00,1.1083
3933.00,1.1084
3932.00,1.1082
3931.00,1.1079
3930.00,1.1078
3929.00,1.1078
3928.00,1.1079
3927.00,1.1081
3926.00,1.1081
3925.00,1.1081
3924.00,1.1080
3923.00,1.1081
3922.00,1.1082
3921.00,1.1081
3920.00,1.1079
3919.00,1.1078
3918.00,1.1081
3917.00,1.1087
3916.00,1.1093
3915.00,1.1094
3914.00,1.1090
3913.00,1.1082
3912.00,1.1075
3911.00,1.1070
3910.00,1.1069
3909.00,1.1070
3908.00,1.1072
3907.00,1.1075
3906.00,1.1079
3905.00,1.1084
3904.00,1.1089
3903.00,1.1095
3902.00,1.1100
3901.00,1.1104
3900.00,1.1105
3899.00,1.1106
3898.00,1.1106
3897.00,1.1106
3896.00,1.1104
3895.00,1.1100
3894.00,1.1096
3893.00,1.1092
3892.00,1.1088
3891.00,1.1086
3890.00,1.1087
3889.00,1.1091
3888.00,1.1095
3887.00,1.1095
3886.00,1.1091
3885.00,1.1087
3884.00,1.1087
3883.00,1.1091
3882.00,1.1094
3881.00,1.1092
3880.00,1.1085
3879.00,1.1079
3878.00,1.1076
3877.00,1.1079
3876.00,1.1084
3875.00,1.1086
3874.00,1.1085
3873.00,1.1083
3872.00,1.1083
3871.00,1.1085
3870.00,1.1088
3869.00,1.1091
3868.00,1.1094
3867.00,1.1098
3866.00,1.1100
3865.00,1.1098
3864.00,1.1092
3863.00,1.1086
3862.00,1.1079
3861.00,1.1071
3860.00,1.1066
3859.00,1.1065
3858.00,1.1070
3857.00,1.1079
3856.00,1.1090
3855.00,1.1097
3854.00,1.1101
3853.00,1.1104
3852.00,1.1108
3851.00,1.1111
3850.00,1.1109
3849.00,1.1101
3848.00,1.1088
3847.00,1.1074
3846.00,1.1059
3845.00,1.1046
3844.00,1.1040
3843.00,1.1041
3842.00,1.1050
3841.00,1.1063
3840.00,1.1074
3839.00,1.1083
3838.00,1.1089
3837.00,1.1094
3836.00,1.1097
3835.00,1.1098
3834.00,1.1094
3833.00,1.1086
3832.00,1.1075
3831.00,1.1062
3830.00,1.1052
3829.00,1.1044
3828.00,1.1039
3827.00,1.1035
3826.00,1.1035
3825.00,1.1040
3824.00,1.1050
3823.00,1.1061
3822.00,1.1067
3821.00,1.1068
3820.00,1.1070
3819.00,1.1073
3818.00,1.1077
3817.00,1.1077
3816.00,1.1072
3815.00,1.1064
3814.00,1.1057
3813.00,1.1050
3812.00,1.1042
3811.00,1.1034
3810.00,1.1026
3809.00,1.1020
3808.00,1.1017
3807.00,1.1017
