Created as New Dataset,Sample 001 By Laboratory Date Friday, November 21 2025
cm-1,A
3685.00,1.2248
3684.00,1.2245
3683.00,1.2240
3682.00,1.2237
3681.00,1.2236
3680.00,1.2239
3679.00,1.2243
3678.00,1.2247
3677.00,1.2250
3676.00,1.2252
3675.00,1.2255
3674.00,1.2264
3673.00,1.2277
3672.00,1.2290
3671.00,1.2295
3670.00,1.2290
3669.00,1.2279
3668.00,1.2271
3667.00,1.2266
3666.00,1.2262
3665.00,1.2256
3664.00,1.2247
3663.00,1.2234
3662.00,1.2222
3661.00,1.2214
3660.00,1.2213
3659.00,1.2219
3658.00,1.2228
3657.00,1.2236
3656.00,1.2240
3655.00,1.2243
3654.00,1.2250
3653.00,1.2261
3652.00,1.2274
3651.00,1.2285
3650.00,1.2294
3649.00,1.2307
3648.00,1.2321
3647.00,1.2328
3646.00,1.2326
3645.00,1.2317
3644.00,1.2306
3643.00,1.2294
3642.00,1.2283
3641.00,1.2272
3640.00,1.2264
3639.00,1.2258
3638.00,1.2256
3637.00,1.2255
3636.00,1.2254
3635.00,1.2253
3634.00,1.2252
3633.00,1.2254
3632.00,1.2263
3631.00,1.2277
3630.00,1.2287
3629.00,1.2290
3628.00,1.2288
3627.00,1.2287
3626.00,1.2288
3625.00,1.2287
3624.00,1.2283
3623.00,1.2276
3622.00,1.2269
3621.00,1.2265
3620.00,1.2263
3619.00,1.2264
3618.00,1.2267
3617.00,1.2269
3616.00,1.2271
3615.00,1.2270
3614.00,1.2268
3613.00,1.2268
3612.00,1.2270
3611.00,1.2272
3610.00,1.2271
3609.00,1.2265
3608.00,1.2256
3607.00,1.2248
3606.00,1.2243
3605.00,1.2240
3604.00,1.2240
3603.00,1.2240
3602.00,1.2240
3601.00,1.2237
3600.00,1.2234
3599.00,1.2231
3598.00,1.2230
3597.00,1.2229
3596.00,1.2224
3595.00,1.2216
3594.00,1.2206
3593.00,1.2200
3592.00,1.2201
3591.00,1.2208
3590.00,1.2213
3589.00,1.2214
3588.00,1.2213
3587.00,1.2213
3586.00,1.2215
3585.00,1.2215
3584.00,1.2213
3583.00,1.2209
3582.00,1.2206
3581.00,1.2203
3580.00,1.2201
3579.00,1.2199
3578.00,1.2198
3577.00,1.2197
3576.00,1.2196
