Created as New Dataset,Sample 005 By Laboratory Date Friday, November 21 2025
cm-1,A
4000.00,1.1572
3999.00,1.1571
3998.00,1.1570
3997.00,1.1570
3996.00,1.1570
3995.00,1.1568
3994.00,1.1565
3993.00,1.1562
3992.00,1.1561
3991.00,1.1560
3990.00,1.1559
3989.00,1.1557
3988.00,1.1555
3987.00,1.1555
3986.00,1.1555
3985.00,1.1557
3984.00,1.1557
3983.00,1.1555
3982.00,1.1551
3981.00,1.1545
3980.00,1.1539
3979.00,1.1534
3978.00,1.1531
3977.00,1.1530
3976.00,1.1530
3975.00,1.1531
3974.00,1.1532
3973.00,1.1535
3972.00,1.1537
3971.00,1.1538
3970.00,1.1537
3969.00,1.1536
3968.00,1.1536
3967.00,1.1535
3966.00,1.1532
3965.00,1.1527
3964.00,1.1522
3963.00,1.1519
3962.00,1.1518
3961.00,1.1520
3960.00,1.1522
3959.00,1.1521
3958.00,1.1518
3957.00,1.1514
3956.00,1.1511
3955.00,1.1509
3954.00,1.1508
3953.00,1.1509
3952.00,1.1512
3951.00,1.1515
3950.00,1.1517
3949.00,1.1517
3948.00,1.1517
3947.00,1.1520
3946.00,1.1524
3945.00,1.1528
3944.00,1.1529
3943.00,1.1529
3942.00,1.1526
3941.00,1.1523
3940.00,1.1518
3939.00,1.1514
3938.00,1.1509
3937.00,1.1505
3936.00,1.1502
3935.00,1.1502
3934.00,1.1503
3933.00,1.1504
3932.00,1.1505
3931.00,1.1506
3930.00,1.1507
3929.00,1.1509
3928.00,1.1511
3927.00,1.1513
3926.00,1.1512
3925.00,1.1511
3924.00,1.1510
3923.00,1.1510
3922.00,1.1513
3921.00,1.1515
3920.00,1.1516
3919.00,1.1514
3918.00,1.1511
3917.00,1.1508
3916.00,1.1506
3915.00,1.1505
3914.00,1.1506
3913.00,1.1506
3912.00,1.1504
3911.00,1.1499
3910.00,1.1492
3909.00,1.1487
3908.00,1.1485
3907.00,1.1488
3906.00,1.1494
3905.00,1.1501
3904.00,1.1509
3903.00,1.1519
3902.00,1.1530
3901.00,1.1540
3900.00,1.1545
3899.00,1.1541
3898.00,1.1531
3897.00,1.1520
3896.00,1.1510
3895.00,1.1505
3894.00,1.1504
3893.00,1.1503
3892.00,1.1500
3891.00,1.1496
3890.00,1.1495
3889.00,1.1496
3888.00,1.1500
3887.00,1.1502
3886.00,1.1504
3885.00,1.1505
3884.00,1.1506
3883.00,1.1509
3882.00,1.1510
3881.00,1.1508
3880.00,1.1506
3879.00,1.1503
3878.00,1.1503
3877.00,1.1505
3876.00,1.1506
3875.00,1.1504
3874.00,1.1501
3873.00,1.1500
3872.00,1.1504
3871.00,1.1510
3870.00,1.1513
3869.00,1.1513
3868.00,1.1513
3867.00,1.1516
3866.00,1.1518
3865.00,1.1518
3864.00,1.1515
3863.00,1.1509
3862.00,1.1504
3861.00,1.1501
3860.00,1.1498
3859.00,1.1497
3858.00,1.1497
3857.00,1.1499
3856.00,1.1504
3855.00,1.1511
3854.00,1.1516
3853.00,1.1519
3852.00,1.1520
3851.00,1.1521
3850.00,1.1517
3849.00,1.1510
3848.00,1.1501
3847.00,1.1491
3846.00,1.1483
3845.00,1.1478
3844.00,1.1477
3843.00,1.1481
3842.00,1.1489
3841.00,1.1498
3840.00,1.1503
3839.00,1.1504
3838.00,1.1500
3837.00,1.1497
3836.00,1.1497
3835.00,1.1496
3834.00,1.1494
3833.00,1.1487
3832.00,1.1477
3831.00,1.1468
3830.00,1.1463
3829.00,1.1461
3828.00,1.1461
3827.00,1.1459
3826.00,1.1457
3825.00,1.1458
3824.00,1.1463
3823.00,1.1470
3822.00,1.1476
3821.00,1.1478
3820.00,1.1479
3819.00,1.1483
3818.00,1.1488
3817.00,1.1491
3816.00,1.1488
3815.00,1.1483
3814.00,1.1477
3813.00,1.1472
3812.00,1.1466
3811.00,1.1459
3810.00,1.1453
3809.00,1.1449
3808.00,1.1446
3807.00,1.1443
3806.00,1.1444
3805.00,1.1451
3804.00,1.1459
3803.00,1.1465
3802.00,1.1465
3801.00,1.1462
3800.00,1.1462
3799.00,1.1465
3798.00,1.1465
3797.00,1.1461
3796.00,1.1453
3795.00,1.1444
3794.00,1.1437
3793.00,1.1431
3792.00,1.1425
3791.00,1.1417
3790.00,1.1410
3789.00,1.1403
3788.00,1.1397
3787.00,1.1392
3786.00,1.1390
3785.00,1.1391
3784.00,1.1393
3783.00,1.1396
3782.00,1.1400
3781.00,1.1403
3780.00,1.1404
3779.00,1.1403
3778.00,1.1400
3777.00,1.1398
3776.00,1.1396
3775.00,1.1394
3774.00,1.1393
3773.00,1.1394
3772.00,1.1397
3771.00,1.1399
3770.00,1.1399
3769.00,1.1400
3768.00,1.1402
3767.00,1.1404
3766.00,1.1404
3765.00,1.1401
3764.00,1.1398
3763.00,1.1397
3762.00,1.1398
3761.00,1.1397
3760.00,1.1395
3759.00,1.1392
3758.00,1.1393
3757.00,1.1398
3756.00,1.1406
3755.00,1.1415
3754.00,1.1419
3753.00,1.1420
3752.00,1.1421
3751.00,1.1426
3750.00,1.1435
3749.00,1.1447
3748.00,1.1458
3747.00,1.1469
3746.00,1.1475
3745.00,1.1474
3744.00,1.1466
3743.00,1.1459
3742.00,1.1454
3741.00,1.1448
3740.00,1.1439
3739.00,1.1429
3738.00,1.1421
3737.00,1.1417
3736.00,1.1416
3735.00,1.1415
3734.00,1.1415
3733.00,1.1416
3732.00,1.1415
3731.00,1.1413
3730.00,1.1409
3729.00,1.1403
3728.00,1.1394
3727.00,1.1386
3726.00,1.1381
3725.00,1.1380
3724.00,1.1381
3723.00,1.1379
3722.00,1.1375
3721.00,1.1369
3720.00,1.1364
3719.00,1.1361
3718.00,1.1359
3717.00,1.1358
3716.00,1.1358
3715.00,1.1361
3714.00,1.1365
3713.00,1.1369
3712.00,1.1372
3711.00,1.1375
3710.00,1.1379
3709.00,1.1380
3708.00,1.1377
3707.00,1.1371
3706.00,1.1364
3705.00,1.1360
3704.00,1.1359
3703.00,1.1360
3702.00,1.1357
3701.00,1.1353
3700.00,1.1350
3699.00,1.1351
3698.00,1.1352
3697.00,1.1352
3696.00,1.1348
3695.00,1.1344
3694.00,1.1343
3693.00,1.1346
3692.00,1.1354
3691.00,1.1364
3690.00,1.1372
3689.00,1.1377
3688.00,1.1378
3687.00,1.1376
3686.00,1.1373
3685.00,1.1370
3684.00,1.1367
3683.00,1.1363
3682.00,1.1361
3681.00,1.1359
3680.00,1.1357
3679.00,1.1358
3678.00,1.1364
3677.00,1.1374
3676.00,1.1385
3675.00,1.1394
3674.00,1.1402
3673.00,1.1409
3672.00,1.1415
3671.00,1.1416
3670.00,1.1414
3669.00,1.1409
3668.00,1.1403
3667.00,1.1398
3666.00,1.1392
3665.00,1.1385
3664.00,1.1375
3663.00,1.1365
3662.00,1.1357
3661.00,1.1353
3660.00,1.1355
3659.00,1.1364
3658.00,1.1374
3657.00,1.1384
3656.00,1.1391
3655.00,1.1399
3654.00,1.1411
3653.00,1.1426
3652.00,1.1443
3651.00,1.1457
3650.00,1.1470
3649.00,1.1479
3648.00,1.1484
3647.00,1.1482
3646.00,1.1474
3645.00,1.1464
3644.00,1.1454
3643.00,1.1443
3642.00,1.1431
3641.00,1.1417
3640.00,1.1405
3639.00,1.1394
3638.00,1.1387
3637.00,1.1382
3636.00,1.1380
3635.00,1.1380
3634.00,1.1382
3633.00,1.1386
3632.00,1.1394
3631.00,1.1404
3630.00,1.1413
3629.00,1.1420
3628.00,1.1426
3627.00,1.1432
3626.00,1.1439
3625.00,1.1441
3624.00,1.1439
3623.00,1.1432
3622.00,1.1426
3621.00,1.1421
3620.00,1.1420
3619.00,1.1419
3618.00,1.1420
3617.00,1.1421
3616.00,1.1421
3615.00,1.1419
3614.00,1.1414
3613.00,1.1406
3612.00,1.1397
3611.00,1.1391
3610.00,1.1389
3609.00,1.1389
3608.00,1.1389
3607.00,1.1389
3606.00,1.1387
3605.00,1.1385
3604.00,1.1381
3603.00,1.1376
3602.00,1.1370
3601.00,1.1364
3600.00,1.1359
3599.00,1.1356
3598.00,1.1354
3597.00,1.1353
3596.00,1.1353
3595.00,1.1353
3594.00,1.1352
3593.00,1.1351
3592.00,1.1351
3591.00,1.1353
3590.00,1.1358
3589.00,1.1363
3588.00,1.1364
3587.00,1.1363
3586.00,1.1359
3585.00,1.1353
3584.00,1.1349
3583.00,1.1345
3582.00,1.1342
3581.00,1.1339
3580.00,1.1334
3579.00,1.1328
3578.00,1.1321
3577.00,1.1316
3576.00,1.1316
3575.00,1.1319
3574.00,1.1323
3573.00,1.1325
3572.00,1.1327
3571.00,1.1328
3570.00,1.1332
3569.00,1.1336
3568.00,1.1341
3567.00,1.1346
3566.00,1.1348
3565.00,1.1349
3564.00,1.1348
3563.00,1.1347
3562.00,1.1346
3561.00,1.1346
3560.00,1.1343
3559.00,1.1336
3558.00,1.1327
3557.00,1.1318
3556.00,1.1312
3555.00,1.1311
3554.00,1.1312
3553.00,1.1315
3552.00,1.1318
3551.00,1.1322
3550.00,1.1327
3549.00,1.1332
3548.00,1.1337
3547.00,1.1339
3546.00,1.1339
3545.00,1.1339
3544.00,1.1339
3543.00,1.1339
3542.00,1.1340
3541.00,1.1340
3540.00,1.1339
3539.00,1.1337
3538.00,1.1335
3537.00,1.1331
3536.00,1.1327
3535.00,1.1326
3534.00,1.1328
3533.00,1.1331
3532.00,1.1335
3531.00,1.1338
3530.00,1.1340
3529.00,1.1341
3528.00,1.1342
3527.00,1.1343
3526.00,1.1344
3525.00,1.1345
3524.00,1.1342
3523.00,1.1338
3522.00,1.1336
3521.00,1.1339
3520.00,1.1346
